CHLOC1,CHLOC1D
ETM,RAMON
JFK,NEW YORK - J.F.KENNEDY
LHR,LONDON - HEATHROW
MAD,MADRID
VAR,VARNA
MXP,MILAN-MALPENSA
TBS,TBILISI
PRG,PRAGUE-RUZYNE
MUC,MUNICH
BUD,BUDAPEST
FCO,ROME - FIUMICINO
BCN,BARCELONA
ATH,ATHENS
ZRH,ZURICH
SOF,SOFIA
RMO,CHISINAU
LCA,LARNACA
WAW,WARSAW
GNB,GRENOBLE-SAUNT GEOIRS
OTP,BUCHAREST - OTOPENI
GVA,GENEVA
DEL,DELHI
CDG,PARIS-CHARLES DE GAULLE
DME,MOSCOW-DOMODEDOVO
DXB,DUBAI
BKK,BANGKOK INTL.-SUVARNABHUMI
ADD,ADDIS ABABA
EWR,NEW YORK - NEWARK
VIE,VIENNA
AER,SOCHI
LAX,LOS ANGELES
MIA,MIAMI INTERNATIONAL
NRT,TOKYO INTL.-NARITA
BER,BERLIN BRANDENBURG INTL
AMS,AMSTERDAM
LIS,LISBON
FRA,FRANKFURT
BUS,BATUMI
KRK,KRAKOW
LTN,LUTON
TAS,TASHKENT
AUH,ABU DHABI
BOS,BOSTON-LOGAN INT
ORY,PARIS-ORLY
SKG,THESSALONIKI
BEG,BELGRADE
HKT,PHUKET
SEZ,MAHE SEYCHELLES INTL
GYD,BAKU HEYDAR ALIYEV INT`L
SZX,SHENZHEN  BAOAN INT.
DUS,DUSSELDORF
VRN,VILLAFRANCA-VERONA
CMB,COLOMBO-KATUNAYAKE
RVN,ROVANIEMI
LED,ST. PETERSBURG
JNB,JOHANNESBURG
LYS,LYON - SATOLAS
VNO,VILNIUS INTL
INN,INNSBRUCK
PSA,PISA
BGY,BERGAMO
ZIA,MOSCOW-ZHUKOVSKY INTL AIRPOTR
AKT,AKROTIRI
RZE,RZESZOW-JASIONKA
BRU,BRUSSELS
FKB,BADEN BADEN
MRS,MARSEILLE
FMM,MEMMINGEN
SAW,ISTANBUL-SABIHA GOKCHEN
IST,ISTANBUL
PFO,PAPHOS
SVO,MOSCOW
CTU,CHENGDU
JMK,MIKONOS
HKG,HONG KONG INT'L
LGG,LIEGE
CAN,GUANGZHOU
NAP,NAPLES-CAPODICHINO
CAI,CAIRO INTERNATIONAL
BAH,BAHRAIN
STN,LONDON -STANSTED
YYZ,TORONTO
BSL,BASEL
KBP,KIEV KYIV-BORISPOL
TEB,TETERBORO
VKO,MOSCOW-VNUKOVO
STR,STUTTGART
PVG,SHANGHAI PUDONG
CGN,COLOGNE-BONN
ABZ,ABERDEEN
SSH,SHARM EL SHEIKH
SFO,SAN FRANCISCO
ESB,ANKARA-ESENBUGA
MAN,MANCHESTER
LEJ,LEIPZIG-HALLE
CMF,CHAMBERY-AIX LES BAINS
LBG,PARIS-LE BOURGET
HEL,HELSINKI
RAK,MARRAKESH
AMM,AMMAN (QUEEN ALIA INT'L)
PMI,PALMA DE MALLORCA
TLV,TEL AVIV
JRO,KILIMANJARO
ODS,ODESA
SNN,SHANNON
AYT,ANTALYA
CRL,BRUSSELS -  CHARLEROI
DWC,DUBAI AL MAKTOUM INT AP
LIN,MILAN-LINATE
AZI,AL BATEEN EXECUTIVE AP
EMA,NOTTINGHAM
LGW,LONDON - GATWICK
BOM,MUMBAI
NCE,NICE
OSL,OSLO
BQH,BIGGIN HILL
RBA,RABAT
ZAZ,ZARAGOZA
BBU,BUCHAREST- BANEASA
OPO,PORTO
DLM,DALAMAN
BLQ,BOLOGNA-BORGO PANIGALE
ALA,ALMATY
BFS,BELFAST - ALDERGROVE
EIN,EINDHOVEN
SHJ,SHARJAH
TRN,TURIN
KIV,CHISINAU
MSQ,MINSK
TSF,TREVISO
WMI,WARSAW- MODLIN
DUB,DUBLIN
BED,BEDFORD-LAURENCE G. HANSCOM
CMN,CASABLANCA-MOHAMMED V
POZ,POZNAN
IAD,WASHINGTON-DULLES
FAB,FARNBOROUGH
SMV,SAMEDAN
TER,LAJES-AZORES
IAS,IASI
RIX,RIGA
RPN,ROSH PINA
LHA,LAHR
BAK,BAKU
IRE,PRATICA DI MARE(MIL)
BHX,BIRMINGHAM
ADJ,AMMAN-MARKA
IND,INDIANAPOLIS
RMS,RAMSTEIN
BCM,BACAU
TIA,TIRANA
KID,KRISTIANSTAD
CFE,CLERMONT-FERRAND
FAR,FARO
BBK,KASANE INTERNATIONAL AIRPORT
ALL,ALBENGA
ISL,ISTANBUL-ATATURK
SCV,SUCEAVA-ROMANIA
BWE,BRAUNSCHWEIG
ORD,CHICAGO - O'HARE
MRV,MINERALNYE VODY
KTW,KATOWICE
CIA,ROME - CIAMPINO
EVN,YEREVAN
VLC,VALENCIA
CPH,COPENHAGEN KASTRUP
MLA,MALTA
MHT,MANCHESTER AIRPORT USA
HAM,HAMBURG
VCE,VENICE
BRI,BARI -PALESE MACCHIE
PUF,PAU-FRANCE
BGI,BRIDGETOWN
SKP,SKOPJE
LNZ,LINZ
AQJ,AQABA
BMA,STOCKHOLM-BROMMA
